track_name	album_name	artist_name	genres	release_date	duration_ms	popularity	explicit	is_playable
Rush Hour (Feat. j-hope of BTS)	Rush Hour	Crush	['k-rap', 'k-pop', 'k-ballad']	2022-09-22	177302.0	56.0	False	True
Luôn yêu đời	Luôn yêu đời	Đen	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']	2023-02-09	234240.0	35.0	False	True
That’s Not How This Works (feat. Dan + Shay)	That’s Not How This Works (feat. Dan + Shay)	Charlie Puth	['soft pop', 'pop']	2023-03-31	165619.0	56.0	False	True
Sao Cũng Được	Sao Cũng Được	Binz	['vietnamese hip hop', 'v-pop', 'vinahouse', 'vietnam indie']	2018-03-08	266750.0	39.0	False	True
Alone	FACE	Jimin	['k-pop']	2023-03-24	211250.0	60.0	False	True
Một Công Đôi Việc (feat. HURRYKNG & HIEUTHUHAI)	Rap Việt Mùa 3 (2023) - Tập 11	RAP VIỆT	['vietnamese hip hop', 'v-pop']	2023-08-06	255758.0	41.0	False	True
Qua Ngay Mai	CHILL with me	Tiên Tiên	['v-pop', 'vietnam indie', 'vinahouse', 'vietnamese lo-fi']	2018-12-12	157000.0	44.0	False	True
Mikrokosmos	MAP OF THE SOUL : PERSONA	BTS	['k-pop']	2019-04-12	224225.0	64.0	False	True
EASY	EASY	LE SSERAFIM	['k-pop']	2024-02-19	164545.0	73.0	False	True
Yeah Yeah Yeah	BORN PINK	BLACKPINK	['k-pop']	2022-09-16	178923.0	53.0	False	True
Ngỏ Lời	Ngỏ Lời	SUNI	['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2023-05-28	235744.0	29.0	False	True
Hồi Kết	Hồi Kết	Hà Nhi	['v-pop', 'vinahouse', 'vietnamese lo-fi', 'vietnam indie']	2022-11-15	274258.0	37.0	False	True
Sống Cho Hết Đời Thanh Xuân 4 (feat. Dick)	Rap Việt Mùa 3 (2023) - Tập 13	RAP VIỆT	['vietnamese hip hop', 'v-pop']	2023-08-20	260351.0	46.0	False	True
ON (Feat. Sia)	MAP OF THE SOUL : 7	BTS	['k-pop']	2020-02-21	246816.0	50.0	False	True
Face-off	FACE	Jimin	['k-pop']	2023-03-24	229627.0	59.0	True	True
comethru (bonus track)		Jeremy Zucker						
HONGKONG12 (feat. MC 12)	HONGKONG12 (feat. MC 12)	Nguyễn Trọng Tài	['vietnamese hip hop', 'v-pop', 'vietnamese lo-fi', 'vietnam indie']	2019-10-22	253531.0	35.0	False	True
Độ Tộc 2	Độ Tộc 2	Độ Mixi	['vietnamese hip hop', 'v-pop', 'vinahouse']	2021-09-22	201030.0	35.0	False	True
