artist	track	wks	t10	pk_rank	pk_streams	total_streams
Táo	Blue Tequila	177	0	26	136114	12080824
Taylor Swift	Cruel Summer	75	1	5	276618	11958920
Shartnuss	Nắng có mang em về	54	0	44	357148	11949565
MONO	Em Là	77	3	8	262424	11822149
MIN	Trên Tình Bạn Dưới Tình Yêu	129	16	1	349081	11817373
Shawn Mendes	Señorita	148	41	1	460259	11785881
TaynguyenSound	Già Cùng Nhau Là Được	122	0	70	156415	11750373
Low G	Tán Gái 505	77	0	65	213607	11698842
Lãng	Nụ hôn Bisou	46	1	10	367018	11524660
WEAN	BADBYE	52	0	20	416895	11520881
Ngọt	LẦN CUỐI (đi bên em xót xa người ơi)	170	2	5	278162	11387427
"ANH TRAI ""SAY HI"""	CHÂN THÀNH	27	0	14	548290	11323672
BigDaddy	Mượn Rượu Tỏ Tình	168	9	1	183537	11312237
ROSÉ	number one girl	13	10	3	1582670	11185403
Obito	Hà Nội	33	0	12	453116	10925426
Rapital	Tay To	111	0	58	144296	10865905
Binz	Hit Me Up	28	5	4	1097224	10863450
MONO	Chăm Hoa	17	1	9	787280	10856632
SOOBIN	giá như	45	0	13	646137	10805517
Sơn Tùng M-TP	Buông Đôi Tay Nhau Ra	84	0	73	215375	10788759
Wren Evans	Call Me	39	0	12	603389	10706543
Mitski	My Love Mine All Mine	56	0	30	355124	10638111
BTS	Yet To Come	39	13	1	1755027	10636514
ROSÉ	On The Ground	98	5	1	595967	10621938
Wren Evans	bé ơi từ từ	30	3	8	876822	10473902
Vũ.	Không Yêu Em Thì Yêu Ai?	21	0	19	715983	10447108
Sơn Tùng M-TP	Hãy Trao Cho Anh	149	23	1	397123	10446724
tlinh	tình yêu có nghĩa là gì?	46	3	7	526510	10337947
Shiki	1000 Ánh Mắt	34	1	8	553753	10221555
Rhymastic	Yêu 5	170	0	77	131429	10191216
V	Rainy Days	20	7	3	1850617	10184269
JustaTee	Đã Lỡ Yêu Em Nhiều	107	0	132	176006	10117911
ROSÉ	toxic till the end	11	5	3	1922052	10085055
tlinh	HOP ON DA SHOW	23	4	5	1012873	10022090
buitruonglinh	Đường Tôi Chở Em Về	120	0	14	264638	9870003
BTS	Permission to Dance	64	28	1	505613	9832989
Tăng Duy Tân	Bên Trên Tầng Lầu	54	12	1	372198	9822954
Jung Kook	Stay Alive (Prod. SUGA of BTS)	68	8	1	1586444	9806362
Rhymastic	Lặng	33	2	7	631748	9798859
V	Christmas Tree	68	7	1	562360	9777261
SOOBIN	Tháng Năm	118	3	6	225792	9774997
Doja Cat	Kiss Me More	98	8	8	209463	9684708
Charlie Puth	Cheating on You	115	0	13	146821	9666200
Thắng	Trước Khi Em Tồn Tại	59	0	22	258426	9652121
Charlie Puth	We Don't Talk Anymore	221	0	71	194475	9532656
BTS	Life Goes On	101	4	1	423869	9512304
"ANH TRAI ""SAY HI"""	TÌNH ĐẦU QUÁ CHÉN	23	0	13	729164	9503888
Hoàng Thùy Linh	Diamond Cut Diamond	128	16	1	159492	9340096
JVKE	golden hour	70	1	6	292395	9336430
BigDaddy	Ngõ Chạm	52	0	41	229429	9297604
LISA	MONEY	70	11	1	400537	9103147
Billie Eilish	BIRDS OF A FEATHER	40	0	54	328277	8949120
Ronboogz	Anh Chỉ Muốn	50	0	77	230029	8905135
