track_name	album_name	artist_name	genres	release_date	duration_ms	popularity	explicit	is_playable	wks	t10	pk_rank	pk_streams	total_streams
Mascara	Qua Khung Cửa Sổ	Chillies	['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']	2021-05-05	293157.0	48.0	False	True	179	28	3	157975	16689255
Phóng Đổ Tim Em	LOI CHOI: The Neo Pop Punk	Wren Evans	['v-pop', 'vietnam indie', 'vietnamese hip hop', 'vietnamese lo-fi', 'vinahouse']	2023-12-17	134267.0	53.0	False	True	54	2	9	843856	16616182
Ngày Đầu Tiên	Ngày Đầu Tiên	Đức Phúc	['v-pop', 'vinahouse', 'vietnam indie']	2022-02-11	208939.0	52.0	False	True	111	12	2	430926	16593558
Kill Bill	SOS	SZA	['r&b']	2022-12-08	153946.0	83.0	False	True	99	7	6	300451	16337774
Em iu	Em iu	Andree Right Hand	['vietnamese hip hop', 'v-pop', 'vinahouse']	2022-01-30	179986.0	54.0	True	True	90	0	18	269824	16290707
My Universe	Music Of The Spheres	Coldplay	[]	2021-10-15	226198.0	72.0	False	True	84	34	1	797211	16283821
TRÀN BỘ NHỚ (feat. Dương Domic)	"ANH TRAI ""SAY HI"", Chung Kết 1"	"ANH TRAI ""SAY HI"""	['v-pop', 'vietnamese hip hop']	2024-08-31	210000.0	61.0	False	True	24	6	5	1032397	16138912
KIM PHÚT, KIM GIỜ (feat. HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều & Isaac)	"ANH TRAI ""SAY HI"" (Live Stage 4)"	"ANH TRAI ""SAY HI"""	['v-pop', 'vietnamese hip hop']	2024-08-26	295058.0	59.0	False	True	26	6	5	923227	16128397
XTC (Xích Thêm Chút) (Remix)	Rapitalove	Rapital	['vietnamese hip hop', 'v-pop', 'vietnam indie']	2021-06-21	243750.0	54.0	False	True	152	0	87	194027	16073998
MỘNG YU	MỘNG YU	AMEE	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']	2024-08-02	202629.0	58.0	False	True	29	7	3	1409741	15946886
Hẹn Gặp Em Dưới Ánh Trăng	Hẹn Gặp Em Dưới Ánh Trăng	MANBO	['vietnamese hip hop', 'v-pop', 'vietnam indie']	2020-09-25	222000.0	62.0	False	True	49	0	20	617169	15651049
Như Anh Đã Thấy Em	Như Anh Đã Thấy Em	PhucXp	['v-pop', 'vietnamese lo-fi', 'vietnam indie']	2022-05-20	302000.0	53.0	False	True	101	0	33	210065	15581231
Suýt Nữa Thì...	Suýt Nữa Thì...	Andiez	['v-pop', 'vietnamese lo-fi', 'vietnam indie']	2018-08-13	281344.0	54.0	False	True	99	0	74	261068	15498836
Crush 2	Crush 2	W/N	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie']	2019-12-07	119587.0	48.0	False	True	127	0	51	287363	15439425
lời tạm biệt chưa nói	Hương Mùa Hè	GREY D	['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']	2022-07-24	259114.0	53.0	False	True	110	0	22	204021	15324789
Đánh Đổi (ft. RPT MCK)		Obito							39	2	7	634920	15243260
một đời	một đời	14 Casper	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2022-12-21	328240.0	55.0	False	True	47	0	28	462820	15019269
Nến Và Hoa	Nến Và Hoa	Rhymastic	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse', 'vietnamese lo-fi']	2018-08-19	166000.0	52.0	False	True	223	7	2	183005	14974127
3107 4 (feat. Erik, Nâu)	3107 4 (feat. Erik, Nâu)	W/N	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie']	2022-07-31	213913.0	55.0	False	True	89	0	24	232435	14867287
Hà Nội (ft. VSTRA)		Obito							39	1	10	524339	14774525
Một Ngàn Nỗi Đau	Một Ngàn Nỗi Đau	Văn Mai Hương	['v-pop', 'vinahouse', 'vietnamese hip hop', 'vietnam indie']	2022-06-23	321904.0	50.0	False	True	104	1	7	290578	14549305
NGÁO NGƠ (feat. HIEUTHUHAI, ERIK, Anh Tú Atus, JSOL & Orange)	"ANH TRAI ""SAY HI"" (Live Stage 3)"	"ANH TRAI ""SAY HI"""	['v-pop', 'vietnamese hip hop']	2024-08-29	252428.0	55.0	False	True	29	4	6	794218	14518582
Ngày Đẹp Trời Để Nói Chia Tay	Ngày Đẹp Trời Để Nói Chia Tay	Lou Hoàng	['v-pop', 'vinahouse', 'vietnamese lo-fi']	2024-06-13	220223.0	59.0	False	True	36	5	4	1058785	14512957
Ghé Qua		TaynguyenSound							150	0	64	245075	14500249
để tôi ôm em bằng giai điệu này	winter warmer	Kai Đinh	['v-pop', 'vietnamese lo-fi', 'vietnam indie']	2022-12-22	264596.0	51.0	False	True	84	0	18	283242	14388792
Em Xinh	ĐẸP	MONO	['v-pop', 'vietnamese hip hop', 'vinahouse']	2023-11-30	183236.0	56.0	False	True	54	2	10	769703	14243938
